Month,Year,Pearson,Kendall,Spearman
1,2001.5,0.5533081052223139,0.32359365889864194,0.4568642514321413
2,2001.5,0.6051648741748348,0.34058784500334344,0.4777007348191545
3,2001.5,0.5861506915375182,0.32266290805722,0.4584912218793123
4,2001.5,0.6939266324278497,0.40094648164266705,0.5598980295714925
5,2001.5,0.7622842885070614,0.40454477284952084,0.5604720390926223
6,2001.5,0.8163022969426017,0.5207116807659065,0.696377079050309
7,2001.5,0.8201217640240566,0.5637849090227957,0.7440890434235229
8,2001.5,0.8217809836915286,0.5272104983157868,0.7030174188065457
9,2001.5,0.7685805734425228,0.42794549602465565,0.5886072655842625
10,2001.5,0.6724619382890697,0.38000602232930536,0.5322008961666208
11,2001.5,0.6245335105617287,0.3098431161866714,0.4369984567440873
12,2001.5,0.6035914741156521,0.33829694383215536,0.47513776736836794
